text,category,priority
"Heart patient has no medicine stock following the flood, school going kids are impacted condition worsening. We really need help soon because school going kids are impacted. due to a critical situation",Health,HIGH
Bridges in area 88 require urgent repair. following a severe disaster,Infrastructure,HIGH
Many families are impacted due to lack of proper health resources. Case 681 to help the affected community,Health,MEDIUM
"Food is completely finished in this drought, my family is in trouble are crying for something to eat. with people in urgent distress",Food,HIGH
Education related issue reported in area 405 requiring attention. to help the affected community,Education,MEDIUM
Open defecation is common in region 369. with people in urgent distress,Sanitation,HIGH
Residents report ongoing shelter problems making survival difficult. Case 192 to prepare for upcoming needs,Shelter,LOW
Residents report ongoing education problems making survival difficult. Case 89 as part of current needs,Education,MEDIUM
"People want yoga or fitness sessions for the past week, the whole neighborhood is struggling. as a general requirement",Health,LOW
Community 379 depends on contaminated water sources. for timely assistance,Water,MEDIUM
Flooding has displaced families in area 27. with people in urgent distress,Disaster,HIGH
Open defecation is common in region 60. as part of current needs,Sanitation,MEDIUM
People in this area are facing severe issues related to food and need support immediately. Case 14 to help the affected community,Food,MEDIUM
There has been a continuous problem with shelter services affecting daily life. Case 408 for routine support,Shelter,LOW
Waste disposal systems are absent in locality 168. to support ongoing recovery,Sanitation,MEDIUM
There has been a continuous problem with food services affecting daily life. Case 225 to help the affected community,Food,MEDIUM
Public transport is unavailable in locality 249. to prepare for upcoming needs,Infrastructure,LOW
Residents report ongoing shelter problems making survival difficult. Case 884 as lives are at immediate risk,Shelter,HIGH
Many families are impacted due to lack of proper food resources. Case 718 for timely assistance,Food,MEDIUM
"hospital too far cant go, need support soon to help the affected community",Health,MEDIUM
Natural disaster has disrupted life in zone 182. for routine support,Disaster,LOW
Community 97 is recovering from cyclone damage. for routine support,Disaster,LOW
Many families are impacted due to lack of proper education resources. Case 951 for routine support,Education,LOW
Natural disaster has disrupted life in zone 317. as part of current needs,Disaster,MEDIUM
"In the slum area, the school has no midday meal improvement in this drought, disabled people are at risk kids. for routine support",Food,LOW
Water scarcity is affecting daily life in region 329. as part of current needs,Water,MEDIUM
Residents report ongoing food problems making survival difficult. Case 650 due to a critical situation,Food,HIGH
Waste disposal systems are absent in locality 83. following a severe disaster,Sanitation,HIGH
Relief support is needed after disaster in locality 43. following a severe disaster,Disaster,HIGH
The situation regarding health has worsened significantly in recent days. Case 516 due to a critical situation,Health,HIGH
Many families are impacted due to lack of proper food resources. Case 314 as lives are at immediate risk,Food,HIGH
Household 101 reports lack of clean drinking water access. to help the affected community,Water,MEDIUM
Area 378 lacks proper sanitation and toilet facilities. as lives are at immediate risk,Sanitation,HIGH
Livelihood support is required for households in zone 304. as a general requirement,Livelihood,LOW
Open defecation is common in region 145. as lives are at immediate risk,Sanitation,HIGH
"school closed most days, affecting everyone here to support ongoing recovery",Education,MEDIUM
There has been a continuous problem with education services affecting daily life. Case 350 for future planning,Education,LOW
"food not enough for family, urgent attention needed as lives are at immediate risk",Food,HIGH
Area 368 lacks proper sanitation and toilet facilities. for timely assistance,Sanitation,MEDIUM
"The shelter could use better flooring since supplies stopped, children are suffering badly. for future planning",Shelter,LOW
"In the slum area, the market is far, need local food distribution point over the past few days, pregnant women need help. for routine support",Food,LOW
"not getting proper meals daily, need support soon for routine support",Food,LOW
The situation regarding food has worsened significantly in recent days. Case 735 as lives are at immediate risk,Food,HIGH
Many families are impacted due to lack of proper shelter resources. Case 618 with people in urgent distress,Shelter,HIGH
The situation regarding food has worsened significantly in recent days. Case 526 with people in urgent distress,Food,HIGH
Waste disposal systems are absent in locality 292. with people in urgent distress,Sanitation,HIGH
People in this area are facing severe issues related to food and need support immediately. Case 548 as lives are at immediate risk,Food,HIGH
Bridges in area 135 require urgent repair. as lives are at immediate risk,Infrastructure,HIGH
Waste disposal systems are absent in locality 30. for future planning,Sanitation,LOW
Village 308 requires installation of water supply systems. due to a critical situation,Water,HIGH
Open defecation is common in region 39. with people in urgent distress,Sanitation,HIGH
Roads in village 189 are damaged and unsafe. as part of current needs,Infrastructure,MEDIUM
There has been a continuous problem with education services affecting daily life. Case 881 as a general requirement,Education,LOW
Earthquake impact is severe in region 272. with people in urgent distress,Disaster,HIGH
There has been a continuous problem with food services affecting daily life. Case 506 due to a critical situation,Food,HIGH
